month,threshold,confederation,share,share_pct
2018-05,20,AFC,0.1,10.0
2018-05,20,CAF,0.15,15.0
2018-05,20,CONCACAF,0.1,10.0
2018-05,20,CONMEBOL,0.15,15.0
2018-05,20,OFC,0.0,0.0
2018-05,20,UEFA,0.5,50.0
2018-06,20,AFC,0.05,5.0
2018-06,20,CAF,0.0,0.0
2018-06,20,CONCACAF,0.1,10.0
2018-06,20,CONMEBOL,0.25,25.0
2018-06,20,OFC,0.0,0.0
2018-06,20,UEFA,0.6,60.0
2018-07,20,AFC,0.1,10.0
2018-07,20,CAF,0.1,10.0
2018-07,20,CONCACAF,0.2,20.0
2018-07,20,CONMEBOL,0.1,10.0
2018-07,20,OFC,0.05,5.0
2018-07,20,UEFA,0.45,45.0
2018-08,20,AFC,0.35294117647058826,35.294117647058826
2018-08,20,CAF,0.0,0.0
2018-08,20,CONCACAF,0.5294117647058824,52.94117647058824
2018-08,20,CONMEBOL,0.0,0.0
2018-08,20,OFC,0.058823529411764705,5.88235294117647
2018-08,20,UEFA,0.058823529411764705,5.88235294117647
2018-09,20,AFC,0.05,5.0
2018-09,20,CAF,0.0,0.0
2018-09,20,CONCACAF,0.1,10.0
2018-09,20,CONMEBOL,0.25,25.0
2018-09,20,OFC,0.0,0.0
2018-09,20,UEFA,0.6,60.0
2018-10,20,AFC,0.05,5.0
2018-10,20,CAF,0.0,0.0
2018-10,20,CONCACAF,0.05,5.0
2018-10,20,CONMEBOL,0.25,25.0
2018-10,20,OFC,0.0,0.0
2018-10,20,UEFA,0.65,65.0
2018-11,20,AFC,0.05,5.0
2018-11,20,CAF,0.0,0.0
2018-11,20,CONCACAF,0.0,0.0
2018-11,20,CONMEBOL,0.25,25.0
2018-11,20,OFC,0.0,0.0
2018-11,20,UEFA,0.7,70.0
2018-12,20,AFC,0.95,95.0
2018-12,20,CAF,0.05,5.0
2018-12,20,CONCACAF,0.0,0.0
2018-12,20,CONMEBOL,0.0,0.0
2018-12,20,OFC,0.0,0.0
2018-12,20,UEFA,0.0,0.0
2019-01,20,AFC,0.7,70.0
2019-01,20,CAF,0.0,0.0
2019-01,20,CONCACAF,0.1,10.0
2019-01,20,CONMEBOL,0.0,0.0
2019-01,20,OFC,0.0,0.0
2019-01,20,UEFA,0.2,20.0
2019-02,20,AFC,0.2222222222222222,22.22222222222222
2019-02,20,CAF,0.0,0.0
2019-02,20,CONCACAF,0.5555555555555556,55.55555555555556
